author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5104159420","A5104159420","Advensius Agung Dede Saputra","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","3","1","0","3","Operating system; Engineering; Business; Political science; Law"
"https://openalex.org/A5104208635","A5104208635","Muhammad Andrian Pratama","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Philosophy; Sociology; Humanities"
"https://openalex.org/A5104233248","A5104233248","Muhammad Yani Syafei","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Aircraft maintenance; Operating system; Physics; Engineering; Corrective maintenance"
"https://openalex.org/A5104293655","A5104293655","Muhamad Khosyi Izzatullah","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Computer graphics (images); Artificial intelligence; Computer vision; Computer science"
"https://openalex.org/A5104605738","A5104605738","Deden Abdul Wahab Sya’roni","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Physics; Horticulture; Biology"
"https://openalex.org/A5104620275","A5104620275","Hendar Rubedo","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Physics; Horticulture; Biology"
"https://openalex.org/A5104827330","A5104827330","Umi Narimawati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Ekonomi dan Bisnis","","1","2","1","0","2","Business; Psychology"
"https://openalex.org/A5104882004","A5104882004","Ibnul Yasari Rahmat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Operating system; Computer graphics (images); Art; Visual arts; Political science"
"https://openalex.org/A5104907133","A5104907133","Lia Warlina","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Psychology"
"https://openalex.org/A5104943181","A5104943181","Muhammad Lazuardi Alfariz","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","World Wide Web; Art; Sociology; Regional science; Artificial intelligence"
"https://openalex.org/A5104943205","A5104943205","Rizqi Magdawati Nur Izzizti","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Gene; Regional science; Political science; Chemistry; Ancient history"
"https://openalex.org/A5104943225","A5104943225","Leni Cahyani","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Political science; Law; Geography; Administration (probate law); Population"
"https://openalex.org/A5104943236","A5104943236","Diah Pudjiastuti","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Gene; Accounting; Business; Chemistry"
"https://openalex.org/A5104943239","A5104943239","Melly Maulin Puwaningwulan","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","3","1","0","3","Advertising; Electronic media; Philosophy; Sociology; Business"
"https://openalex.org/A5104943257","A5104943257","Salma Andeyani","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Mathematical analysis; Business; Marketing; Archaeology"
